course,updated_date,course_long_title,college,actual_enrollment,maximum_enrollment,remaining_seats,waitlist,percent_full
BIOL1108,2025-01-20,Principles of Biology II,Franklin College of Arts and Sciences,72,100,28,0,0.72
BIOL1108L,2025-01-20,Principles of Biology II Laboratory,Franklin College of Arts and Sciences,70,96,26,0,0.7291666666666666
BIOL3110L,2025-01-20,Basic Skills in the Laboratory,Franklin College of Arts and Sciences,38,48,10,0,0.7916666666666666
BIOS2010,2025-01-20,Elementary Biostatistics,College of Public Health,24,90,66,0,0.26666666666666666
CBIO2200,2025-01-20,Anatomy and Physiology I,Franklin College of Arts and Sciences,80,80,0,0,1.0
CBIO2200L,2025-01-20,Anatomy and Physiology I,Franklin College of Arts and Sciences,80,80,0,2,1.0
CBIO2210,2025-01-20,Anatomy and Physiology II,Franklin College of Arts and Sciences,80,80,0,0,1.0
CBIO2210L,2025-01-20,Anatomy and Physiology II,Franklin College of Arts and Sciences,80,80,0,4,1.0
CBIO3200L,2025-01-20,Medical Anatomy,Franklin College of Arts and Sciences,10,40,30,0,0.25
CBIO3400,2025-01-20,Cell Biology,Franklin College of Arts and Sciences,32,80,48,0,0.4
CHEM1211,2025-01-20,General Chemistry I,Franklin College of Arts and Sciences,104,340,236,0,0.3058823529411765
CHEM1211D,2025-01-20,General Chemistry I,Franklin College of Arts and Sciences,102,360,258,0,0.2833333333333333
CHEM1211L,2025-01-20,General Chemistry Laboratory I,Franklin College of Arts and Sciences,78,144,66,2,0.5416666666666666
CHEM1212,2025-01-20,General Chemistry II,Franklin College of Arts and Sciences,124,300,176,0,0.41333333333333333
CHEM1212D,2025-01-20,General Chemistry II,Franklin College of Arts and Sciences,124,140,16,0,0.8857142857142857
CHEM1212L,2025-01-20,General Chemistry Laboratory II,Franklin College of Arts and Sciences,100,144,44,0,0.6944444444444444
CHEM2211,2025-01-20,Modern Organic Chemistry I,Franklin College of Arts and Sciences,176,600,424,0,0.29333333333333333
CHEM2211L,2025-01-20,Modern Organic Chemistry Laboratory I,Franklin College of Arts and Sciences,168,192,24,0,0.875
CHEM2212,2025-01-20,Modern Organic Chemistry II,Franklin College of Arts and Sciences,144,300,156,0,0.48
CHEM2212L,2025-01-20,Modern Organic Chemistry Laboratory II,Franklin College of Arts and Sciences,126,144,18,0,0.875
CHEM4300,2025-01-20,Special Topics in Analytical Chemistry,Franklin College of Arts and Sciences,18,24,6,0,0.75
